outcome,pred_fog,G1,G2,G3,G4,G5
correct-reject,3.1278744e-06,-0.009662342431675427,-0.009661931317911189,-0.009696200160792227,-0.00966202347288831,-0.009707881244871758
correct-reject,0.00014495566,-0.009683684875066068,-0.009722865789188977,-0.009699426100629972,-0.009461846808809767,-0.009680729054444129
correct-reject,2.232435e-05,-0.009719479783312435,-0.009787393736923387,-0.009843049153121924,-0.00948871149488281,-0.009532574459898345
correct-reject,4.4778867e-06,-0.009678580219328553,-0.009678911713080074,-0.009684466633100505,-0.00967298516453673,-0.009674084898093053
correct-reject,3.629389e-07,-0.009679330552256869,-0.009676773385064272,-0.009679633979497252,-0.009678752662815053,-0.00967865504850547
correct-reject,1.4343344e-05,-0.009676367280186341,-0.009679445693684879,-0.009675812250025851,-0.009671896366523368,-0.009675687037718475
correct-reject,2.4946095e-05,-0.00970865280630593,-0.009708345673323363,-0.00971064879327283,-0.009616605780665349,-0.009624355574571449
correct-reject,1.5477804e-05,-0.00967390590829834,-0.009673688600135665,-0.009680090700517008,-0.009675214033991124,-0.009675109385196775
correct-reject,8.021911e-06,-0.009512688725435436,-0.010324214527726125,-0.009522143927434619,-0.00951333526047528,-0.009513106187067456
correct-reject,1.0534256e-06,-0.009584135543020133,-0.009062487154537476,-0.009814732989153738,-0.009597330619889027,-0.010333772321538539
correct-reject,3.561744e-05,-0.009176781352318008,-0.009820350201053457,-0.009811062997084456,-0.009765028744809792,-0.009784685332873203
correct-reject,1.2729131e-05,-0.009314781551486916,-0.009428768261862099,-0.01079514839806513,-0.009418816772922525,-0.009423293643802249
correct-reject,2.1263857e-06,-0.009264754722859724,-0.010330788777747013,-0.010528802804427573,-0.00913173974189797,-0.009135292581206633
correct-reject,3.9515777e-05,-0.009616516749009419,-0.009768871392569174,-0.009688622183185523,-0.009643841223533942,-0.009636157079840859
correct-reject,0.00028158055,-0.009111941026777632,-0.011541971414923484,-0.00914119538056093,-0.009156094756377822,-0.009160725049499049
correct-reject,7.2844196e-05,-0.009621844409388557,-0.00970139985312639,-0.009656204549170074,-0.009648315267587082,-0.009692944548866812
correct-reject,5.776656e-06,-0.009635612742690512,-0.009703424758988556,-0.009639146835178842,-0.009706840119436002,-0.009702704171844996
correct-reject,9.597658e-05,-0.009651309781719568,-0.00966057886754007,-0.009668714350269605,-0.009661511467043523,-0.009655394161566156
correct-reject,0.00018187793,-0.009493993102958996,-0.00951399606964057,-0.009719121007153813,-0.009525195134882786,-0.009959325313502746
correct-reject,0.00040395244,-0.009554229044348354,-0.009558000244603309,-0.009775892084851811,-0.009560795627775138,-0.009540639626560305
correct-reject,2.6081398e-05,-0.009528836967047701,-0.009738932080299254,-0.009536441257571254,-0.009781364962723645,-0.00978183336049705
correct-reject,0.00051960046,-0.009547913424681071,-0.009644322781501406,-0.009585753267920643,-0.009524290209400642,-0.00957162894463515
correct-reject,0.0026560856,-0.00882710419716791,-0.009162909921120252,-0.00940062598439204,-0.009111206369189297,-0.00923557615626942
correct-reject,0.0007727363,-0.009398651740138654,-0.00959452789429665,-0.009441313154596648,-0.009577972132634753,-0.00960830770647221
correct-reject,1.7926739e-05,-0.009590303693493934,-0.009752440105166335,-0.009628904807818379,-0.009641354289449944,-0.009762605732210317
correct-reject,4.377318e-05,-0.009633708006568391,-0.009676753024554265,-0.009685336350473894,-0.009678544672235431,-0.009675366574306931
correct-reject,9.706171e-05,-0.009662697613412643,-0.009657334264751197,-0.009669367582178652,-0.009640720575423041,-0.00966628859237338
correct-reject,1.4704053e-05,-0.009627733912392024,-0.009688763359509755,-0.009689485454138017,-0.00968615381508243,-0.009686672087016688
correct-reject,2.5879121e-06,-0.009616093229536701,-0.009760840467060213,-0.009755220045461565,-0.00962870329602336,-0.009630061590057073
correct-reject,0.00010295289,-0.009645426372278465,-0.009664279341039046,-0.009653106831788374,-0.00966427525141233,-0.0096634678316207
correct-reject,0.00017830546,-0.00963580780512043,-0.009646734628959765,-0.009642196230699021,-0.009637625166415687,-0.00965283979694401
correct-reject,0.000120895755,-0.00961783340390703,-0.00963539322447023,-0.009761449933017644,-0.009621351680500432,-0.00963658438624358
correct-reject,1.3508586e-05,-0.009655978933472741,-0.009657966404676002,-0.00969084130585348,-0.009687264316160484,-0.009687957667976215
correct-reject,0.0004100683,-0.009519934104845508,-0.009663611334524836,-0.009536507493161338,-0.009582421636961196,-0.009680966058646037
correct-reject,0.00020970346,-0.00960694829722742,-0.009642790736871758,-0.009652771332057886,-0.009627299726509135,-0.009653995535472719
correct-reject,0.0003045549,-0.009059940005392262,-0.009097278578663508,-0.011836928520436567,-0.00901838654476832,-0.009076419978878262
correct-reject,4.005747e-06,-0.009572897191624538,-0.00967902987287941,-0.009778716613616194,-0.009678196833337305,-0.009680658116681467
correct-reject,3.2112928e-07,-0.00957891171969622,-0.00970306794810569,-0.00970696961210576,-0.009701438421181546,-0.009702799927049699
correct-reject,2.7514835e-07,-0.009642040770215224,-0.009687711594511024,-0.009685417203810389,-0.00968678946631444,-0.009691274593287847
correct-reject,9.889718e-06,-0.009673072939882975,-0.009674864775157896,-0.009686495590042674,-0.009674317760837435,-0.009674867562217936
correct-reject,3.792324e-07,-0.009671132187581224,-0.009678934145588208,-0.009680588830238306,-0.009680619173961484,-0.009681855290769687
correct-reject,3.5045223e-06,-0.009663190858914391,-0.009674677499883589,-0.009693653757296838,-0.009674744150198974,-0.009683742361845124
correct-reject,1.994022e-06,-0.008426845776423861,-0.008417028751795666,-0.01453524647348058,-0.008391636336314581,-0.00862076129012423
correct-reject,2.0816055e-05,-0.009604740819391019,-0.009671297218541607,-0.009755850632576736,-0.009670106464765708,-0.009670713492863832
correct-reject,3.392745e-08,-0.009675586385067074,-0.009679980976171076,-0.009678105751383035,-0.009680067461604238,-0.009679734153913488
correct-reject,5.1127063e-08,-0.009613899371248525,-0.009609587677838483,-0.009932154759129048,-0.009620053727434222,-0.009617761992488635
correct-reject,1.667003e-07,-0.009656691337780321,-0.009620051129061186,-0.009619954958866054,-0.009827633284132702,-0.009669010918298653
