C0_Prob,C1_Prob
0.005535272,0.9944647
0.13061525,0.8693847
0.004343887,0.99565613
0.017310733,0.98268926
0.001557884,0.9984421
0.006896724,0.99310327
0.010912519,0.98908746
0.003964499,0.9960355
0.046981115,0.95301896
0.023987481,0.9760125
0.22497459,0.77502537
0.16724576,0.8327542
0.035743427,0.9642566
0.11194007,0.8880599
0.4924698,0.5075302
0.03405456,0.9659454
0.023269106,0.9767308
0.007919309,0.99208075
0.051532302,0.94846773
0.0405248,0.95947516
0.002817615,0.99718237
0.33970118,0.6602988
0.8991995,0.10080049
0.011848955,0.9881511
0.004151831,0.9958482
0.001750958,0.99824905
0.29296368,0.7070363
0.000702836,0.99929714
5.73E-05,0.99994266
0.001465859,0.9985341
0.022502253,0.97749776
0.000451171,0.99954885
7.44E-05,0.9999256
0.000317499,0.99968255
0.004168308,0.99583167
0.000842318,0.99915767
0.00012539,0.9998746
0.000142287,0.99985766
0.001038342,0.9989617
0.000856044,0.99914396
0.000821379,0.9991786
0.3904339,0.6095661
0.31980366,0.68019634
0.002085526,0.9979145
0.13263303,0.86736697
0.08642911,0.9135709
0.09338627,0.90661377
2.80E-05,0.999972
0.000450028,0.9995499
2.84E-06,0.99999714
3.39E-05,0.99996614
0.000147523,0.9998524
2.83E-05,0.9999716
6.33E-05,0.9999367
0.000160191,0.9998398
0.002055621,0.9979444
0.001099522,0.9989004
0.030649707,0.9693503
0.0239961,0.9760039
0.005012089,0.99498796
0.038510833,0.96148914
0.18114872,0.8188513
0.41101497,0.588985
0.020540515,0.97945946
0.006971202,0.9930288
0.06578672,0.93421334
0.44844362,0.5515564
0.004252893,0.99574715
0.008719611,0.9912804
0.027997231,0.97200274
0.13674921,0.86325085
0.003429907,0.9965701
0.004404774,0.9955953
0.04681833,0.9531817
0.16317956,0.8368205
0.016969409,0.9830306
0.019256338,0.9807437
0.034169357,0.9658306
0.22751856,0.77248144
0.005767026,0.99423295
0.003122639,0.9968773
0.00336321,0.99663675
