,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean
125,TKE_875mb,0.373134328,0.010180472,0.468085106,0.280898876,0.362953856,0.424321946,0.966028787,0.512657672
126,TKE_875mb,0.402985075,0.010180472,0.448979592,0.303370787,0.392804603,0.451584472,0.969982774,0.532663364
127,TKE_875mb,0.417910448,0.010180472,0.44,0.314606742,0.407729976,0.464878571,0.971753086,0.542093664
128,TKE_850mb,0.373134328,0.010643221,0.479166667,0.277777778,0.362491108,0.420228354,0.964495737,0.501567278
129,TKE_850mb,0.373134328,0.010643221,0.479166667,0.277777778,0.362491108,0.420228354,0.964495737,0.501567278
130,TKE_850mb,0.388059701,0.010643221,0.469387755,0.288888889,0.377416481,0.433893649,0.966637774,0.511796274
131,TKE_850mb,0.388059701,0.010643221,0.469387755,0.288888889,0.377416481,0.433893649,0.966637774,0.511796274
132,TKE_825mb,0.343283582,0.010643221,0.5,0.255555556,0.332640361,0.392198697,0.959670027,0.479835014
133,TKE_825mb,0.343283582,0.010643221,0.5,0.255555556,0.332640361,0.392198697,0.959670027,0.479835014
134,TKE_825mb,0.343283582,0.010643221,0.5,0.255555556,0.332640361,0.392198697,0.959670027,0.479835014
135,TKE_825mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
136,TKE_800mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
137,TKE_800mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
138,TKE_800mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
139,TKE_800mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
140,TKE_775mb,0.358208955,0.009717723,0.466666667,0.272727273,0.348491232,0.414421,0.965444004,0.51363567
141,TKE_775mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
142,TKE_775mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
143,TKE_775mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
144,TKE_750mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
145,TKE_750mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
146,TKE_750mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
147,TKE_750mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
148,TKE_725mb,0.358208955,0.008329477,0.428571429,0.282352941,0.349879478,0.427090008,0.970348236,0.55175794
149,TKE_725mb,0.358208955,0.008329477,0.428571429,0.282352941,0.349879478,0.427090008,0.970348236,0.55175794
150,TKE_725mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
151,TKE_725mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
152,TKE_700mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
153,TKE_700mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
154,TKE_700mb,0.358208955,0.007866728,0.414634146,0.285714286,0.350342227,0.431463446,0.97198536,0.565704217
155,TKE_700mb,0.343283582,0.008329477,0.43902439,0.270588235,0.334954105,0.412512227,0.968371239,0.540856725
156,Q_975mb,0.343283582,0.008792226,0.452380952,0.26744186,0.334491356,0.408306074,0.966628079,0.52749096
157,Q_975mb,0.343283582,0.008792226,0.452380952,0.26744186,0.334491356,0.408306074,0.966628079,0.52749096
158,Q_975mb,0.343283582,0.007866728,0.425,0.273809524,0.335416854,0.416793972,0.970115861,0.554890311
159,Q_975mb,0.343283582,0.007866728,0.425,0.273809524,0.335416854,0.416793972,0.970115861,0.554890311
160,Q_950mb,0.343283582,0.007866728,0.425,0.273809524,0.335416854,0.416793972,0.970115861,0.554890311
161,Q_950mb,0.343283582,0.007866728,0.425,0.273809524,0.335416854,0.416793972,0.970115861,0.554890311
162,Q_950mb,0.343283582,0.007866728,0.425,0.273809524,0.335416854,0.416793972,0.970115861,0.554890311
163,Q_950mb,0.343283582,0.008329477,0.43902439,0.270588235,0.334954105,0.412512227,0.968371239,0.540856725
164,Q_925mb,0.328358209,0.009254975,0.476190476,0.252873563,0.319103234,0.389522139,0.962501562,0.503223979
165,Q_925mb,0.328358209,0.009254975,0.476190476,0.252873563,0.319103234,0.389522139,0.962501562,0.503223979
166,Q_925mb,0.313432836,0.008329477,0.461538462,0.247058824,0.305103359,0.382563587,0.963867251,0.517447377
167,Q_925mb,0.328358209,0.010180472,0.5,0.247191011,0.318177737,0.381654599,0.958791209,0.479395604
168,Q_900mb,0.343283582,0.010180472,0.488888889,0.258426966,0.33310311,0.396121656,0.961407356,0.490955362
169,Q_900mb,0.343283582,0.010180472,0.488888889,0.258426966,0.33310311,0.396121656,0.961407356,0.490955362
