feature,group,PSS_Mean,PSS_STD,HSS_Mean,HSS_STD,CSS_Mean,CSS_STD
Q_775mb_T3,G2,0.52,0.01,0.5,0.08,0.48,0.04
Q_775mb_T4,G2,0.54,0.01,0.51,0.02,0.49,0.02
Q_750mb_T1,G2,0.54,0,0.51,0.07,0.49,0.04
Q_750mb_T2,G2,0.54,0.01,0.51,0.09,0.49,0.04
Q_750mb_T3,G2,0.54,0.01,0.51,0.03,0.49,0
Q_750mb_T4,G2,0.54,0.01,0.51,0.08,0.49,0.06
Q_725mb_T1,G2,0.54,0,0.51,0.06,0.49,0.01
Q_725mb_T2,G2,0.54,0.01,0.51,0.07,0.49,0.01
Q_725mb_T3,G2,0.54,0.01,0.51,0,0.49,0.03
Q_725mb_T4,G2,0.54,0.01,0.51,0.05,0.49,0.04
Q_700mb_T1,G2,0.54,0.01,0.51,0.07,0.49,0.01
Q_700mb_T2,G2,0.54,0.01,0.51,0.03,0.49,0.07
Q_700mb_T3,G2,0.54,0,0.52,0.01,0.5,0.09
Q_700mb_T4,G2,0.54,0,0.52,0.08,0.5,0.03
TMP_2maboveground_T1,G3,0.54,0,0.53,0.1,0.51,0.07
TMP_2maboveground_T2,G3,0.52,0.01,0.51,0.05,0.5,0.06
TMP_2maboveground_T3,G3,0.52,0,0.51,0.01,0.5,0.02
TMP_2maboveground_T4,G3,0.52,0.01,0.51,0.08,0.5,0.07
TMP_975mb_T1,G3,0.54,0.01,0.53,0.08,0.51,0.05
TMP_975mb_T2,G3,0.52,0,0.51,0.02,0.51,0.07
TMP_975mb_T3,G3,0.52,0.01,0.51,0.06,0.5,0.08
TMP_975mb_T4,G3,0.54,0,0.52,0.04,0.51,0.07
TMP_950mb_T1,G3,0.54,0.01,0.52,0.02,0.51,0.01
TMP_950mb_T2,G3,0.54,0,0.52,0.05,0.51,0.07
TMP_950mb_T3,G3,0.54,0,0.52,0.06,0.5,0.03
TMP_950mb_T4,G3,0.54,0,0.53,0.1,0.51,0.02
TMP_925mb_T1,G3,0.54,0.01,0.52,0.04,0.51,0.08
TMP_925mb_T2,G3,0.54,0.01,0.52,0.05,0.5,0
TMP_925mb_T3,G3,0.51,0,0.5,0.06,0.5,0.09
TMP_925mb_T4,G3,0.54,0,0.52,0.03,0.51,0.08
TMP_900mb_T1,G3,0.54,0.01,0.52,0.04,0.5,0.01
TMP_900mb_T2,G3,0.52,0.01,0.51,0.08,0.49,0.02
TMP_900mb_T3,G3,0.52,0,0.5,0.04,0.48,0.03
TMP_900mb_T4,G3,0.54,0.01,0.52,0,0.5,0.07
TMP_875mb_T1,G3,0.54,0.01,0.52,0.07,0.5,0.03
TMP_875mb_T2,G3,0.52,0,0.51,0.04,0.5,0.03
TMP_875mb_T3,G3,0.54,0.01,0.52,0.03,0.5,0.04
TMP_875mb_T4,G3,0.54,0.01,0.52,0.08,0.5,0.06
TMP_850mb_T1,G3,0.54,0.01,0.52,0.01,0.5,0.07
TMP_850mb_T2,G3,0.54,0.01,0.52,0.09,0.51,0.07
TMP_850mb_T3,G3,0.54,0.01,0.51,0.09,0.49,0.09
TMP_850mb_T4,G3,0.54,0.01,0.52,0.09,0.51,0.01
TMP_825mb_T1,G3,0.52,0,0.51,0.04,0.49,0
TMP_825mb_T2,G3,0.54,0,0.52,0.01,0.5,0.07
TMP_825mb_T3,G3,0.54,0.01,0.52,0,0.5,0.02
TMP_825mb_T4,G3,0.54,0.01,0.52,0.04,0.51,0.08
TMP_800mb_T1,G3,0.52,0,0.51,0.05,0.49,0.04
TMP_800mb_T2,G3,0.54,0,0.53,0.05,0.51,0.1
TMP_800mb_T3,G3,0.54,0.01,0.53,0,0.51,0
TMP_800mb_T4,G3,0.52,0,0.51,0,0.49,0.03
TMP_775mb_T1,G3,0.52,0.01,0.51,0,0.49,0
TMP_775mb_T2,G3,0.54,0,0.51,0,0.49,0.05
TMP_775mb_T3,G3,0.54,0.01,0.51,0,0.49,0.05
TMP_775mb_T4,G3,0.52,0.01,0.51,0,0.5,0.03
TMP_750mb_T1,G3,0.54,0,0.52,0,0.51,0.03
TMP_750mb_T2,G3,0.52,0,0.51,0,0.51,0.08
TMP_750mb_T3,G3,0.54,0.01,0.52,0,0.51,0.05
TMP_750mb_T4,G3,0.52,0,0.51,0,0.5,0.06
TMP_725mb_T1,G3,0.52,0.01,0.5,0,0.49,0.1
TMP_725mb_T2,G3,0.54,0,0.51,0,0.49,0.09
TMP_725mb_T3,G3,0.52,0.01,0.51,0,0.49,0.08
TMP_725mb_T4,G3,0.52,0,0.51,0,0.5,0.02
TMP_700mb_T1,G3,0.54,0,0.52,0,0.5,0.1
TMP_700mb_T2,G3,0.54,0,0.51,0,0.49,0.03
TMP_700mb_T3,G3,0.54,0,0.51,0,0.49,0.02
TMP_700mb_T4,G3,0.54,0,0.52,0,0.5,0.06
DPT_2maboveground_T1,G3,0.54,0.01,0.52,0,0.5,0.05
DPT_2maboveground_T2,G3,0.54,0,0.52,0,0.5,0.01
DPT_2maboveground_T3,G3,0.52,0.01,0.51,0,0.49,0.1
DPT_2maboveground_T4,G3,0.52,0,0.51,0,0.49,0.07
RH_2maboveground_T1,G3,0.54,0.01,0.52,0,0.5,0.09
RH_2maboveground_T2,G3,0.54,0,0.52,0,0.5,0.09
RH_2maboveground_T3,G3,0.54,0,0.52,0,0.51,0.05
RH_2maboveground_T4,G3,0.54,0.01,0.52,0,0.51,0.03
RH_975mb_T1,G3,0.54,0,0.52,0,0.51,0.04
RH_975mb_T2,G3,0.54,0.01,0.52,0,0.5,0
RH_975mb_T3,G3,0.54,0,0.52,0,0.51,0.03
RH_975mb_T4,G3,0.54,0.01,0.52,0,0.5,0.02
RH_950mb_T1,G3,0.54,0,0.52,0,0.51,0.06
RH_950mb_T2,G3,0.54,0.01,0.52,0,0.51,0.09
RH_950mb_T3,G3,0.54,0,0.53,0,0.51,0.07
RH_950mb_T4,G3,0.54,0.01,0.53,0,0.51,0.02
RH_925mb_T1,G3,0.52,0.01,0.51,0,0.5,0.01
RH_925mb_T2,G3,0.54,0.01,0.52,0,0.5,0.08
RH_925mb_T3,G3,0.52,0.01,0.51,0,0.49,0.02
RH_925mb_T4,G3,0.52,0.01,0.5,0,0.49,0.1
RH_900mb_T1,G3,0.54,0,0.51,0,0.49,0.01
RH_900mb_T2,G3,0.52,0,0.5,0,0.49,0
RH_900mb_T3,G3,0.52,0,0.51,0,0.51,0.04
RH_900mb_T4,G3,0.52,0.01,0.51,0,0.49,0.1
RH_875mb_T1,G3,0.54,0,0.52,0,0.51,0.08
RH_875mb_T2,G3,0.54,0.01,0.52,0,0.5,0.07
RH_875mb_T3,G3,0.54,0,0.52,0,0.5,0.02
RH_875mb_T4,G3,0.54,0,0.51,0,0.49,0.05
RH_850mb_T1,G3,0.52,0.01,0.5,0,0.49,0.07
RH_850mb_T2,G3,0.52,0,0.51,0,0.51,0
