Date,VIS,CAT
20130710,10,1
20130710,10,1
20130710,10,1
20130710,10,1
20130711,10,1
20130711,10,1
20130711,10,1
20130711,10,1
20130712,10,1
20130712,10,1
20130712,10,1
20130712,10,1
20130713,10,1
20130713,10,1
20130713,10,1
20130713,10,1
20130714,10,1
20130714,10,1
20130714,10,1
20130714,10,1
20130715,10,1
20130715,10,1
20130715,10,1
20130715,10,1
20130719,10,1
20130719,10,1
20130719,10,1
20130719,10,1
20130720,10,1
20130720,10,1
20130720,10,1
20130720,10,1
20130722,10,1
20130722,7,1
20130722,7,1
20130722,7,1
20130723,7,1
20130723,7,1
20130723,10,1
20130723,7,1
20130724,10,1
20130724,7,1
20130724,7,1
20130724,10,1
20130725,10,1
20130725,10,1
20130725,10,1
20130725,10,1
20130726,10,1
20130726,10,1
20130726,10,1
20130726,10,1
20130727,10,1
20130727,10,1
20130727,10,1
20130727,7,1
20130728,10,1
20130728,7,1
20130728,10,1
20130728,7,1
20130729,7,1
20130729,7,1
20130729,10,1
20130729,10,1
20130731,10,1
20130731,10,1
20130731,10,1
20130731,10,1
20130801,10,1
20130801,10,1
20130801,10,1
20130801,10,1
20130802,10,1
20130802,10,1
20130802,10,1
20130802,10,1
20130803,10,1
20130803,10,1
20130803,10,1
20130803,10,1
20130804,10,1
20130804,10,1
20130804,10,1
20130804,10,1
20130805,10,1
20130805,10,1
20130805,10,1
20130805,10,1
20130806,10,1
20130806,7,1
20130806,10,1
20130806,7,1
20130807,7,1
20130807,7,1
20130807,7,1
20130807,7,1
20130808,7,1
20130808,7,1
20130808,7,1
20130808,10,1
20130809,7,1
20130809,10,1
20130809,10,1
20130809,10,1
20130811,10,1
20130811,10,1
20130811,10,1
20130811,10,1
20130813,10,1
20130813,10,1
20130813,10,1
20130813,10,1
20130814,10,1
20130814,10,1
20130814,10,1
20130814,10,1
20130815,10,1
20130815,10,1
20130815,10,1
20130815,10,1
20130816,10,1
20130816,10,1
20130816,10,1
20130816,10,1
20130818,10,1
20130818,10,1
20130818,10,1
20130818,10,1
20130821,10,1
20130821,10,1
20130821,10,1
20130821,10,1
20130822,10,1
20130822,10,1
20130822,10,1
20130822,10,1
20130823,10,1
20130823,10,1
20130823,10,1
20130823,10,1
20130824,10,1
20130824,10,1
20130824,10,1
20130824,10,1
20130825,10,1
20130825,10,1
20130825,10,1
20130825,10,1
20130826,10,1
20130826,10,1
20130826,10,1
20130826,10,1
20130827,10,1
20130827,10,1
20130827,7,1
20130827,10,1
20130828,10,1
20130828,10,1
20130828,10,1
20130828,10,1
20130829,10,1
20130829,10,1
20130829,10,1
20130829,10,1
20130830,10,1
20130830,10,1
20130830,10,1
20130830,10,1
20130831,10,1
20130831,10,1
20130831,10,1
20130831,10,1
20130901,10,1
20130901,10,1
20130901,10,1
20130901,10,1
20130902,10,1
20130902,10,1
20130902,10,1
20130902,10,1
20130903,10,1
20130903,10,1
20130903,10,1
20130903,10,1
20130904,10,1
20130904,10,1
20130904,10,1
20130904,10,1
20130905,10,1
20130905,10,1
20130905,10,1
20130905,10,1
20130906,10,1
20130906,10,1
20130906,10,1
20130906,10,1
20130909,10,1
20130909,10,1
20130909,10,1
20130909,10,1
20130910,10,1
20130910,10,1
20130910,10,1
20130910,10,1
