,Unnamed: 0,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean,Score,groups
11,11,UGRD_975mb,0.5074626870000001,0.015733457,0.5,0.33663366299999997,0.49172923,0.488198911,0.9694444440000001,0.48472222200000004,3.1801089000000005,g1
12,12,UGRD_950mb,0.52238806,0.015270708000000001,0.485294118,0.35,0.5071173520000001,0.503476556,0.972039822,0.499891068,1.652344400000004,g1
13,13,UGRD_950mb,0.52238806,0.014807958999999999,0.47761194,0.35353535399999997,0.5075801,0.5075801,0.9728881770000001,0.5075801,1.2419900000000013,g1
14,14,UGRD_950mb,0.52238806,0.017121703000000002,0.513888889,0.33653846200000004,0.505266357,0.48763514700000005,0.968645729,0.471268811,3.2364852999999982,g1
15,15,UGRD_950mb,0.52238806,0.015270708000000001,0.485294118,0.35,0.5071173520000001,0.503476556,0.972039822,0.499891068,1.652344400000004,g1
16,16,UGRD_925mb,0.52238806,0.015733457,0.492753623,0.34653465299999997,0.506654603,0.499431513,0.9711914,0.49242470000000005,2.0568487000000033,g1
17,17,UGRD_925mb,0.52238806,0.016658954,0.507042254,0.339805825,0.505729106,0.491511999,0.969494353,0.478122327,2.8488001000000054,g1
18,18,UGRD_925mb,0.52238806,0.016196205,0.5,0.343137255,0.506191854,0.495443729,0.97034291,0.485171455,2.455627100000001,g1
19,19,UGRD_925mb,0.52238806,0.016196205,0.5,0.343137255,0.506191854,0.495443729,0.97034291,0.485171455,2.455627100000001,g1
20,20,UGRD_900mb,0.52238806,0.015733457,0.492753623,0.34653465299999997,0.506654603,0.499431513,0.9711914,0.49242470000000005,2.0568487000000033,g1
21,21,UGRD_900mb,0.52238806,0.015733457,0.492753623,0.34653465299999997,0.506654603,0.499431513,0.9711914,0.49242470000000005,2.0568487000000033,g1
22,22,UGRD_900mb,0.5074626870000001,0.015733457,0.5,0.33663366299999997,0.49172923,0.488198911,0.9694444440000001,0.48472222200000004,3.1801089000000005,g1
23,23,UGRD_900mb,0.52238806,0.015733457,0.492753623,0.34653465299999997,0.506654603,0.499431513,0.9711914,0.49242470000000005,2.0568487000000033,g1
24,24,UGRD_875mb,0.5074626870000001,0.015733457,0.5,0.33663366299999997,0.49172923,0.488198911,0.9694444440000001,0.48472222200000004,3.1801089000000005,g1
25,25,UGRD_875mb,0.5074626870000001,0.015270708000000001,0.492537313,0.34,0.492191979,0.492191979,0.970343541,0.492191979,2.7808021000000025,g1
26,26,UGRD_875mb,0.492537313,0.015270708000000001,0.5,0.33,0.477266605,0.48074300799999997,0.9685476409999999,0.484273821,3.925699200000004,g1
27,27,UGRD_875mb,0.46268656700000005,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.9614119190000001,0.446027613,7.397238700000003,g1
28,28,UGRD_850mb,0.46268656700000005,0.016196205,0.53030303,0.303921569,0.44649036200000003,0.449742591,0.962481017,0.453045721,7.025740899999995,g1
29,29,UGRD_850mb,0.46268656700000005,0.016196205,0.53030303,0.303921569,0.44649036200000003,0.449742591,0.962481017,0.453045721,7.025740899999995,g1
30,30,UGRD_850mb,0.432835821,0.015733457,0.53968254,0.287128713,0.417102364,0.429526526,0.958967844,0.442765497,9.0473474,g1
31,31,UGRD_850mb,0.447761194,0.015733457,0.53125,0.29702970300000003,0.432027737,0.441607952,0.96133276,0.45165203299999995,7.839204799999997,g1
32,32,UGRD_825mb,0.432835821,0.015270708000000001,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076,8.6770809,g1
33,33,UGRD_825mb,0.447761194,0.016196205,0.538461538,0.294117647,0.431564989,0.437898145,0.960199769,0.44443259,8.210185500000001,g1
34,34,UGRD_825mb,0.432835821,0.015270708000000001,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076,8.6770809,g1
35,35,UGRD_825mb,0.432835821,0.015270708000000001,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076,8.6770809,g1
36,36,UGRD_800mb,0.432835821,0.015270708000000001,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076,8.6770809,g1
37,37,UGRD_800mb,0.46268656700000005,0.017584452,0.5507246379999999,0.295238095,0.445102116,0.43875654399999997,0.9592742,0.432600976,8.124345600000005,g1
38,38,UGRD_800mb,0.432835821,0.015270708000000001,0.532258065,0.29,0.417565113,0.433229191,0.96016898,0.450198076,8.6770809,g1
