,Unnamed: 0,Date,VIS,CAT,CAT1600,CAT3200,CAT6400
378,378,20130502,10.0,1,1,1,1
379,379,20130502,10.0,1,1,1,1
380,380,20130506,10.0,1,1,1,1
381,381,20130506,10.0,1,1,1,1
382,382,20130506,10.0,1,1,1,1
383,383,20130506,10.0,1,1,1,1
384,384,20130507,10.0,1,1,1,1
385,385,20130507,10.0,1,1,1,1
386,386,20130507,10.0,1,1,1,1
387,387,20130507,10.0,1,1,1,1
388,388,20130508,10.0,1,1,1,1
389,389,20130508,10.0,1,1,1,1
390,390,20130508,10.0,1,1,1,1
391,391,20130508,10.0,1,1,1,1
392,392,20130510,7.0,1,1,1,1
393,393,20130510,5.0,1,1,1,0
394,394,20130510,10.0,1,1,1,1
395,395,20130510,7.0,1,1,1,1
396,396,20130511,10.0,1,1,1,1
397,397,20130511,10.0,1,1,1,1
398,398,20130511,10.0,1,1,1,1
399,399,20130511,10.0,1,1,1,1
400,400,20130513,10.0,1,1,1,1
401,401,20130513,10.0,1,1,1,1
402,402,20130513,10.0,1,1,1,1
403,403,20130513,10.0,1,1,1,1
404,404,20130514,10.0,1,1,1,1
405,405,20130514,10.0,1,1,1,1
406,406,20130514,10.0,1,1,1,1
407,407,20130514,10.0,1,1,1,1
408,408,20130516,7.0,1,1,1,1
409,409,20130516,7.0,1,1,1,1
410,410,20130516,7.0,1,1,1,1
411,411,20130516,5.0,1,1,1,0
412,412,20130518,7.0,1,1,1,1
413,413,20130518,5.0,1,1,1,0
414,414,20130518,7.0,1,1,1,1
415,415,20130518,5.0,1,1,1,0
416,416,20130519,7.0,1,1,1,1
417,417,20130519,4.0,1,1,1,0
418,418,20130519,7.0,1,1,1,1
419,419,20130519,7.0,1,1,1,1
420,420,20130520,7.0,1,1,1,1
421,421,20130520,5.0,1,1,1,0
422,422,20130520,7.0,1,1,1,1
423,423,20130520,7.0,1,1,1,1
424,424,20130521,7.0,1,1,1,1
425,425,20130521,5.0,1,1,1,0
426,426,20130521,7.0,1,1,1,1
427,427,20130521,7.0,1,1,1,1
428,428,20130522,5.0,1,1,1,0
429,429,20130522,4.0,1,1,1,0
430,430,20130522,7.0,1,1,1,1
431,431,20130522,10.0,1,1,1,1
432,432,20130523,7.0,1,1,1,1
433,433,20130523,5.0,1,1,1,0
434,434,20130523,7.0,1,1,1,1
435,435,20130523,7.0,1,1,1,1
436,436,20130524,7.0,1,1,1,1
437,437,20130524,7.0,1,1,1,1
438,438,20130524,10.0,1,1,1,1
439,439,20130524,10.0,1,1,1,1
440,440,20130526,10.0,1,1,1,1
441,441,20130526,10.0,1,1,1,1
442,442,20130526,10.0,1,1,1,1
443,443,20130526,10.0,1,1,1,1
444,444,20130527,10.0,1,1,1,1
445,445,20130527,7.0,1,1,1,1
446,446,20130527,10.0,1,1,1,1
447,447,20130527,10.0,1,1,1,1
448,448,20130528,10.0,1,1,1,1
449,449,20130528,7.0,1,1,1,1
450,450,20130528,10.0,1,1,1,1
451,451,20130528,10.0,1,1,1,1
452,452,20130529,10.0,1,1,1,1
453,453,20130529,7.0,1,1,1,1
454,454,20130529,7.0,1,1,1,1
455,455,20130529,10.0,1,1,1,1
456,456,20130530,10.0,1,1,1,1
457,457,20130530,7.0,1,1,1,1
458,458,20130530,10.0,1,1,1,1
459,459,20130530,10.0,1,1,1,1
460,460,20130531,10.0,1,1,1,1
461,461,20130531,10.0,1,1,1,1
462,462,20130531,10.0,1,1,1,1
463,463,20130531,10.0,1,1,1,1
464,464,20130601,10.0,1,1,1,1
465,465,20130601,10.0,1,1,1,1
